group,N,min_ms,max_ms,mean_ms,median_ms,std_ms,p25_ms,p75_ms,p90_ms,p95_ms,p99_ms,min_s,max_s,mean_s,median_s,std_s,p25_s,p75_s,p90_s,p95_s,p99_s
ALL_RECORDS,3750,956.05,252522.05,11029.113,9336.54,11153.455,6306.0,13380.338,18123.214,22880.139,33431.051,0.956,252.522,11.029,9.337,11.153,6.306,13.38,18.123,22.88,33.431
PROMPTING_SYSTEMS_POOLED_3600,3600,956.05,252522.05,10656.384,9193.985,11072.037,6207.363,12721.92,17499.882,22072.885,31452.113,0.956,252.522,10.656,9.194,11.072,6.207,12.722,17.5,22.073,31.452
FT_BASELINE_ONLY,150,6402.8,40963.21,19974.62,16011.03,9190.875,13938.635,22151.465,39065.291,39368.806,40770.728,6.403,40.963,19.975,16.011,9.191,13.939,22.151,39.065,39.369,40.771
SECONDARY_successful_only_all,3744,956.05,197855.54,10721.438,9329.675,7748.166,6305.177,13359.105,18036.071,22700.341,32782.055,0.956,197.856,10.721,9.33,7.748,6.305,13.359,18.036,22.7,32.782
SECONDARY_successful_only_prompting,3594,956.05,197855.54,10335.245,9189.19,7435.823,6199.585,12698.087,17415.063,21777.83,30951.254,0.956,197.856,10.335,9.189,7.436,6.2,12.698,17.415,21.778,30.951
