group,N,min_ms,max_ms,mean_ms,median_ms,std_ms,p25_ms,p75_ms,p90_ms,p95_ms,p99_ms,min_s,max_s,mean_s,median_s,std_s,p25_s,p75_s,p90_s,p95_s,p99_s
gemma2:9b,900,1766.83,121123.84,8271.114,7409.685,4941.138,6305.177,9521.237,11367.044,13116.234,16469.098,1.767,121.124,8.271,7.41,4.941,6.305,9.521,11.367,13.116,16.469
llama3.2:3b,900,956.05,121124.63,5690.646,5077.61,4733.325,3829.548,6868.57,9316.964,10774.04,13616.204,0.956,121.125,5.691,5.078,4.733,3.83,6.869,9.317,10.774,13.616
qwen2.5-coder:32b,900,4687.36,93239.45,14018.98,12869.99,6171.543,9910.123,16426.6,20881.705,27172.694,31450.491,4.687,93.239,14.019,12.87,6.172,9.91,16.427,20.882,27.173,31.45
qwen2.5:72b,900,2074.39,252522.05,14644.794,11147.145,18651.82,9301.59,16530.895,22077.093,25851.207,34698.941,2.074,252.522,14.645,11.147,18.652,9.302,16.531,22.077,25.851,34.699
text2cypher-gemma2-9b,150,6402.8,40963.21,19974.62,16011.03,9190.875,13938.635,22151.465,39065.291,39368.806,40770.728,6.403,40.963,19.975,16.011,9.191,13.939,22.151,39.065,39.369,40.771
