group,N,min_ms,max_ms,mean_ms,median_ms,std_ms,p25_ms,p75_ms,p90_ms,p95_ms,p99_ms,min_s,max_s,mean_s,median_s,std_s,p25_s,p75_s,p90_s,p95_s,p99_s
baseline,600,1701.43,241112.82,9493.543,6569.66,15103.124,5089.788,10657.565,14563.175,16705.262,33019.495,1.701,241.113,9.494,6.57,15.103,5.09,10.658,14.563,16.705,33.019
cypherbench_style,600,1655.8,241111.69,9180.075,8764.865,10315.944,5833.07,10788.452,13727.292,16125.503,17598.557,1.656,241.112,9.18,8.765,10.316,5.833,10.788,13.727,16.126,17.599
dkb,600,1488.82,241114.14,10327.602,9293.145,10582.234,6217.137,14714.84,16828.663,18289.247,19879.993,1.489,241.114,10.328,9.293,10.582,6.217,14.715,16.829,18.289,19.88
dkb_hybrid,600,956.05,252522.05,9220.066,8303.135,10635.211,6333.495,10846.602,14132.468,16063.6,18619.306,0.956,252.522,9.22,8.303,10.635,6.333,10.847,14.132,16.064,18.619
dkb_no_examples,600,2972.17,142156.25,13024.146,10424.525,8930.811,7620.458,16942.47,23789.789,28153.37,31842.741,2.972,142.156,13.024,10.425,8.931,7.62,16.942,23.79,28.153,31.843
schema_plus_values,600,1493.64,149662.78,12692.87,10821.8,8983.867,7785.2,16391.565,22746.97,27384.524,32196.983,1.494,149.663,12.693,10.822,8.984,7.785,16.392,22.747,27.385,32.197
text2cypher_ft,150,6402.8,40963.21,19974.62,16011.03,9190.875,13938.635,22151.465,39065.291,39368.806,40770.728,6.403,40.963,19.975,16.011,9.191,13.939,22.151,39.065,39.369,40.771
