scope,prompting_configuration,model,category,N,CV,ES,EM,SE,SE_binary_rate,RQ,gen_time_ms_median,gen_time_ms_mean
category_x_model_x_config,Baseline,qwen2.5-coder:32b,Aggregate,38,0.0,0.8684,0.0,0.0,0.0,0.4342,10760.0,11305.9
category_x_model_x_config,Baseline,qwen2.5-coder:32b,Comparative,22,0.0,0.7727,0.0,0.0,0.0,0.2727,11650.4,12747.8
category_x_model_x_config,Baseline,qwen2.5-coder:32b,Health Risk,30,0.0,0.3667,0.0,0.0,0.0,0.1833,13992.9,13393.7
category_x_model_x_config,Baseline,qwen2.5-coder:32b,Station Filtering,30,0.0,0.9667,0.0,0.0,0.0,0.0167,12765.0,14719.0
category_x_model_x_config,Baseline,qwen2.5-coder:32b,Temporal,30,0.0,0.8667,0.0,0.0,0.0,0.0,14070.3,13692.2
category_x_model_x_config,Baseline,qwen2.5:72b,Aggregate,38,0.0,0.9737,0.0,0.0,0.0,0.4342,5542.6,6134.8
category_x_model_x_config,Baseline,qwen2.5:72b,Comparative,22,0.0,1.0,0.0,0.0,0.0,0.0,9931.7,10106.6
category_x_model_x_config,Baseline,qwen2.5:72b,Health Risk,30,0.0,0.9667,0.0,0.0,0.0,0.1833,9386.7,7924.1
category_x_model_x_config,Baseline,qwen2.5:72b,Station Filtering,30,0.0333,0.9667,0.0,0.0,0.0,0.0167,5847.4,21079.3
category_x_model_x_config,Baseline,qwen2.5:72b,Temporal,30,0.0,0.8,0.0,0.0,0.0,0.0,11417.5,17572.1
category_x_model_x_config,Schema Baseline,gemma2:9b,Aggregate,38,0.2105,0.2105,0.0,0.0,0.0,0.1184,7856.1,8119.4
category_x_model_x_config,Schema Baseline,gemma2:9b,Comparative,22,0.5,0.5,0.0,0.0,0.0,0.1818,6690.6,6741.5
category_x_model_x_config,Schema Baseline,gemma2:9b,Health Risk,30,0.5667,0.1,0.0,0.0,0.0,0.05,6409.4,6331.2
category_x_model_x_config,Schema Baseline,gemma2:9b,Station Filtering,30,0.2667,0.2667,0.0,0.0,0.0,0.0167,7603.3,9293.3
category_x_model_x_config,Schema Baseline,gemma2:9b,Temporal,30,0.0,0.0,0.0,0.0,0.0,0.0,9083.4,9211.3
category_x_model_x_config,Schema Baseline,llama3.2:3b,Aggregate,38,0.6579,0.6579,0.0,0.0,0.0,0.3289,4815.4,4900.4
