prompting_configuration,llama3.2:3b,gemma2:9b,qwen2.5-coder:32b,qwen2.5:72b,macro_mean,pooled_mean
Baseline,0.0,0.0,0.0,0.0,0.0,0.0
Schema Baseline,0.0,0.0,0.0042,0.0,0.001,0.001
Schema+Values,0.0171,0.0716,0.0939,0.0987,0.0703,0.0703
DKB-NoExamples,0.0266,0.0611,0.4953,0.2765,0.2149,0.2149
DKB,0.0147,0.2437,0.4621,0.5925,0.3282,0.3282
DKB+Hybrid,0.1257,0.2785,0.6467,0.6136,0.4161,0.4161
