System,CV,ES,VM-F1,RMEM
Baseline,.010,.652,.000,.000
Schema,.565,.508,.001,.000
Schema+Values,.718,.495,.070,.035
DKB-NoExamples,.800,.697,.215,.075
DKB,.757,.670,.328,.077
DKB+Hybrid,.820,.725,.416,.152
