System,L3B,G9B,QC32B,Q72B
Baseline,.000,.000,.000,.000
Schema,.000,.000,.004,.000
Schema+Values,.017,.072,.094,.099
DKB-NoExamples,.027,.061,.495,.277
DKB,.015,.244,.462,.593
DKB+Hybrid,.126,.279,.647,.614
